alpha,gamma,graph type,entropy
0.01,0.01,remote,2.0453325789111387
0.01,0.01,remote,2.1072531474956993
0.01,0.01,remote,1.9851831870779815
0.01,0.01,remote,1.9914289477564615
0.01,0.01,remote,2.0561493028880675
0.01,0.01,remote,2.026564577092595
0.01,0.01,remote,2.106562467247976
0.01,0.01,remote,1.940451492272916
0.01,0.01,remote,1.9450827773543358
0.01,0.01,remote,2.0687083607369647
0.01,0.01,remote,2.0584553927956417
0.01,0.01,remote,2.0347282938077997
0.01,0.01,remote,2.1510917867830184
0.01,0.01,remote,2.063889020108125
0.01,0.01,remote,1.947240464027836
0.01,0.01,remote,2.158932328545784
0.01,0.01,remote,1.8398250931426183
0.01,0.01,remote,2.065153625109123
0.01,0.01,remote,1.842200440246195
0.01,0.01,remote,1.8823630576411454
0.01,0.01,remote,1.9228430492967938
0.01,0.01,remote,2.169966540709735
0.01,0.01,remote,2.0512142007219762
0.01,0.01,remote,2.0973400347884428
0.01,0.01,remote,2.1389739881368506
0.01,0.01,remote,2.031606291316475
0.01,0.01,remote,2.242050042349084
0.01,0.01,remote,2.2914162802037583
0.01,0.01,remote,2.2408968595747525
0.01,0.01,remote,1.8997797660837854
0.01,0.01,remote,2.0494230810274208
0.01,0.01,remote,2.0779227076500857
0.01,0.01,remote,2.087764589353387
0.01,0.01,remote,1.860288266262025
0.01,0.01,remote,2.1070260446974816
0.01,0.01,remote,1.9792785956124395
0.01,0.01,remote,2.123595083773115
0.01,0.01,remote,2.134252118074733
0.01,0.01,remote,2.0393265383937043
0.01,0.01,remote,2.1312446038493356
0.01,0.01,remote,2.1572165690597234
0.01,0.01,remote,2.1385592030758747
0.01,0.01,remote,1.9735748097076953
0.01,0.01,remote,1.8883001595678892
0.01,0.01,remote,2.1475579087930874
0.01,0.01,remote,2.0655919017857207
0.01,0.01,remote,2.0707021682165023
0.01,0.01,remote,2.085149674822283
0.01,0.01,remote,1.8762382498735721
0.01,0.01,remote,2.131969549124735
0.01,0.01,remote,2.0864413377090503
0.01,0.01,remote,2.2129362739647114
0.01,0.01,remote,2.106511188908877
0.01,0.01,remote,1.8968303920052918
0.01,0.01,remote,2.0008602380032476
0.01,0.01,remote,2.098328457134301
0.01,0.01,remote,2.1624874856245992
0.01,0.01,remote,1.8684254308121917
0.01,0.01,remote,1.9736753978531978
0.01,0.01,remote,2.2851073982645365
0.01,0.01,remote,1.8408345032026938
0.01,0.01,remote,1.9703817925575986
0.01,0.01,remote,2.2492226759029426
0.01,0.01,remote,2.117945839109314
0.01,0.01,remote,2.1023030816368125
0.01,0.01,remote,2.0331436671260557
0.01,0.01,remote,2.035943646727574
0.01,0.01,remote,1.9272425322497515
0.01,0.01,remote,2.069310004656896
0.01,0.01,remote,2.2143196068414723
0.01,0.01,remote,1.9618197384810387
0.01,0.01,remote,2.0234325325299922
0.01,0.01,remote,2.2267312387976865
0.01,0.01,remote,2.075025547256182
0.01,0.01,remote,2.0659192757455207
0.01,0.01,remote,1.9203990680370289
0.01,0.01,remote,1.884475455614886
0.01,0.01,remote,2.0174391129535416
0.01,0.01,remote,2.2011488456014914
0.01,0.01,remote,1.8923484234631958
0.01,0.01,remote,2.0784074110616193
0.01,0.01,remote,1.804362147095499
0.01,0.01,remote,2.016482079976393
0.01,0.01,remote,2.0778195913746407
0.01,0.01,remote,2.136119377194783
0.01,0.01,remote,2.0699326501245263
0.01,0.01,remote,2.028079608802889
0.01,0.01,remote,1.932068596017968
0.01,0.01,remote,1.914025772562178
0.01,0.01,remote,1.949759597165001
0.01,0.01,remote,2.212257321440231
0.01,0.01,remote,2.001942144332134
0.01,0.01,remote,1.996328035314625
0.01,0.01,remote,1.954965093612444
0.01,0.01,remote,2.263541503638474
0.01,0.01,remote,2.1507545449377368
0.01,0.01,remote,2.030513318869292
0.01,0.01,remote,1.985975664224035
0.01,0.01,remote,2.085455040116458
0.01,0.01,remote,2.1133557605786004
0.01,0.01,remote,2.0980623307586175
0.01,0.01,remote,2.0847571444683806
0.01,0.01,remote,1.9184253855177549
0.01,0.01,remote,1.991148397999422
0.01,0.01,remote,2.0828833562483773
0.01,0.01,remote,1.9207016053522954
0.01,0.01,remote,2.1636425389408505
0.01,0.01,remote,1.9587625538470876
0.01,0.01,remote,1.885151984756431
0.01,0.01,remote,2.0595072073224943
0.01,0.01,remote,2.0753359208468463
0.01,0.01,remote,2.081487401170675
0.01,0.01,remote,2.0523152787515033
0.01,0.01,remote,2.0031755327237564
0.01,0.01,remote,1.9812171439135349
0.01,0.01,remote,2.1541483141536504
0.01,0.01,remote,2.06093143262281
0.01,0.01,remote,2.0923323493866155
0.01,0.01,remote,2.009211158207647
0.01,0.01,remote,1.732436980718647
0.01,0.01,remote,2.008999896906194
0.01,0.01,remote,2.0623148641824134
