trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_loop.thisRepN,image_loop.thisTrialN,image_loop.thisN,image_loop.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,tools,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,consent_image_0.started,consent0_key_resp.started,consent0_text.started,consent0_key_resp.keys,consent0_key_resp.rt,consent_image_1.started,consent1_key_resp.started,consent1_text.started,consent1_key_resp.keys,consent1_key_resp.rt,consent2_text.started,consent_image_2.started,consent2_key_resp.started,consent2_key_resp.keys,consent2_key_resp.rt,agree_button.started,disagree_button.started,consent_image_3.started,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions_text2.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions_text3.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions3_key_resp.keys,instructions3_key_resp.rt,text_countdown.started,image.started,small_large_keyresp.started,task_question_text.started,smalleroption_text.started,largeroption_text.started,accuracy_score_text.started,small_large_keyresp.keys,small_large_keyresp.corr,small_large_keyresp.rt,fb_2.started,fb_2.stopped,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,graph.started,debrief_text.started,debriefing_title.started,demo_scr_adv.started,demo_scr_adv_keypress.started,demo_scr_adv_keypress.keys,demo_scr_adv_keypress.rt,text_countdown_2.started,participant,date,expName,psychopyVersion,frameRate,
664,0,664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694.3378950171173,1694.3378950171173,1694.3378950171173,1694.3378950171173,1694.3378950171173,1694.3378950171173,s,1,0.3904992645839229,1694.748148935265,1695.7787421392277,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
665,0,665,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.7787421392277,1695.7787421392277,1695.7787421392277,1695.7787421392277,1695.7787421392277,1695.7787421392277,l,1,1.0216862582601607,1696.8193565992406,1697.8499404459726,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
666,0,666,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.8499404459726,1697.8499404459726,1697.8499404459726,1697.8499404459726,1697.8499404459726,1697.8499404459726,s,1,2.701546974829398,1700.5615661292104,1701.5821308329469,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
667,0,667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701.5821308329469,1701.5821308329469,1701.5821308329469,1701.5821308329469,1701.5821308329469,1701.5821308329469,l,1,1.7853083747904748,1703.3831784164067,1704.4038068095688,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
668,0,668,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.4038068095688,1704.4038068095688,1704.4038068095688,1704.4038068095688,1704.4038068095688,1704.4038068095688,s,1,5.2916794184129685,1709.7068577386672,1710.7274671155028,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
669,0,669,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710.7274671155028,1710.7274671155028,1710.7274671155028,1710.7274671155028,1710.7274671155028,1710.7274671155028,l,1,1.1111401540692896,1711.8581147120567,1712.888715764042,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
670,0,670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712.888715764042,1712.888715764042,1712.888715764042,1712.888715764042,1712.888715764042,1712.888715764042,s,1,1.9738178577972576,1714.8798741186038,1715.9104582672007,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
671,0,671,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715.9104582672007,1715.9104582672007,1715.9104582672007,1715.9104582672007,1715.9104582672007,1715.9104582672007,l,1,0.920068912091665,1716.84101700061,1717.8616155110067,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
672,0,672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.8616155110067,1717.8616155110067,1717.8616155110067,1717.8616155110067,1717.8616155110067,1717.8616155110067,s,1,1.561117485514842,1719.4325391388265,1720.45311682194,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
673,0,673,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.45311682194,1720.45311682194,1720.45311682194,1720.45311682194,1720.45311682194,1720.45311682194,l,1,5.449472242733464,1725.9163004783913,1726.94690273772,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
674,0,674,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726.94690273772,1726.94690273772,1726.94690273772,1726.94690273772,1726.94690273772,1726.94690273772,s,1,0.9716738522984087,1727.9374761165818,1728.9680608689087,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
675,0,675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728.9680608689087,1728.9680608689087,1728.9680608689087,1728.9680608689087,1728.9680608689087,1728.9680608689087,s,1,2.829554030788131,1731.8097132532857,1732.8403155126143,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
676,0,676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732.8403155126143,1732.8403155126143,1732.8403155126143,1732.8403155126143,1732.8403155126143,1732.8403155126143,s,1,1.1492939731106162,1734.0010265751043,1735.021603956353,,,,,,,,,,,,,542,2023-05-15_09h47.04.442,eb_02psyexp,2022.2.4,99.91609719718393,
